baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
myl6	1284.91533483118	1.36977324118301	0.311116673514113	4.40276384325919	1.0688048776715e-05	3.20654951500311e-05
smarcc2	118.796470466396	-4.22876869025135	0.404254269735012	-10.4606654940795	1.30932784422194e-25	3.62781478329699e-24
LOC117805768	1.45617727353803	-4.520432513578	1.625958869413	-2.78016412260782	0.00543314316164324	0.00997930250959937
pfkmb	1.94974047991554	-2.9669688147878	1.35504845666137	-2.1895665798535	0.028555684992205	0.0447763537576472
espl1	502.927899475057	0.606251781237218	0.422000024401017	1.43661551228042	0.150827273420368	0.197750759487227
pfdn5	2052.94714623568	1.36956847909548	0.269262555869673	5.08636811632424	3.64985314230673e-07	1.37967814838699e-06
larp4ab	965.89751225937	-4.36960788463675	0.362211925723609	-12.063677571928	1.6428002372947e-33	7.8738487986304e-32
atf7b	38.2622196659454	-1.07408355878934	0.269745922864766	-3.98183426604678	6.8385460003864e-05	0.000179222526807613
dip2bb	68.9777456256098	-3.60790906608976	0.467140378116722	-7.72339372724545	1.13272593998736e-14	1.10861645826758e-13
LOC117818918	3.33916491958749	2.59806838350525	1.78612198580188	1.45458619520819	0.145783855048623	0.192070471407167
atf1	506.483712414911	0.0411105419771867	0.359623974259529	0.114315354146881	0.908987811438704	0.924090897723436
LOC117816380	5.5514545423622	-1.2908107279318	0.683066354070013	-1.88972962910642	0.0587941293139092	0.0856914251842048
LOC117812875	239.028604859223	1.76750786656891	0.382549645447645	4.62033591614139	3.83119237284323e-06	1.23849519009522e-05
scn8ab	13.7543836673192	-3.8028259836943	0.67346883814516	-5.64662500817096	1.63628198281313e-08	7.64080368835522e-08
LOC117819138	1.34554274939248	-4.10353547155206	1.95846055016452	-2.09528625491452	0.0361455535925094	0.0553379859321694
LOC117819189	7.40806988621895	-2.07233662520424	0.817171891531232	-2.53598618195378	0.0112131158518101	0.0192392131782144
si:dkey-195m11.8	1.55674730424386	-2.59739612493208	1.43569813443504	-1.80915198162752	0.0704273952439034	0.100689828429956
slc4a8	26.7183903449233	-6.25914203437454	0.946771652440026	-6.61103658759051	3.81638139866839e-11	2.52791404264541e-10
LOC117819197	0.330108350705909	-2.48797966505842	3.22345648997826	-0.771835969492238	0.440211584903179	NA
ttll3	49.2822735677392	-8.19855422505563	0.887255375044493	-9.24035453112302	2.45681832704253e-20	4.24770487918414e-19
LOC117818458	108.795447329182	-0.415618864130769	0.421818299287123	-0.985303067299755	0.324475226518791	0.38665655594316
LOC117810213	60.2159387032222	-0.31580580431084	0.30840110816287	-1.02400995311619	0.305830573786132	0.36769889397753
sumf1	105.239452802941	0.283420581692405	0.433344017211039	0.654031371002819	0.513091594667607	0.570387022680992
LOC117810222	8.04453197660436	-5.63968071615955	1.34476918142449	-4.19379087062772	2.74330912982726e-05	7.68520951489318e-05
LOC117810243	0.222174143531	-2.05999089502702	3.6293547925866	-0.56759149015544	0.570312386841485	NA
LOC117810238	1.05177665466068	-3.6069780854467	1.6096754875176	-2.24081071832018	0.0250383383749976	0.0397672647106372
si:dkey-28n18.9	13.3215174154868	-3.35962856260238	0.642916918629847	-5.22560297489488	1.73588479131674e-07	6.94383125424413e-07
LOC117820006	373.010060853591	2.86713932244364	0.225936173392048	12.6900410828351	6.71505521622743e-37	3.86530284879842e-35
zc3h10	68.3753715690853	-0.921033949490434	0.393481294513798	-2.34073121729586	0.0192460171230157	0.0313380524017432
esyt1b	239.567800127156	-3.35347890476153	0.486299000308351	-6.89591979961951	5.35173835194277e-12	3.88943836479227e-11
LOC117820949	137.057011724717	-3.46759595764824	0.485664065782545	-7.13990637141527	9.33945128669235e-13	7.5161399945341e-12
LOC117815459	21.7353921300774	-3.39594962244745	0.564069774508402	-6.02044246282667	1.73940929672064e-09	9.32798944528306e-09
LOC117811180	142.14773541137	-1.58078386393887	0.38185265161869	-4.13977448431445	3.47647409556678e-05	9.59106634256807e-05
LOC117811186	0.509443166041739	-2.87578767322294	2.95816619281431	-0.972152166503871	0.330974853110544	0.393452604410289
LOC117816029	4.03565181109164	-0.447573614209562	0.718434267587518	-0.622984780100344	0.533294523515738	0.589111237191055
faim2b	1.05280400527537	-1.80122753850256	1.51283015209922	-1.19063434583397	0.233797162223534	0.290739129441862
LOC117815117	30.8774966875859	-2.18558407807036	0.575232122726412	-3.79948196862061	0.000144998861083755	0.000358396540293627
LOC117815991	288.837994976045	0.574151952120004	0.266099014006507	2.15766283187342	0.0309540557229771	0.0481401783790616
LOC117811890	359.911811047179	1.15642738620978	0.290878839910934	3.97563255740388	7.0192432432413e-05	0.000183562414646712
trnaf-gaa	0.581163556031922	0.358270457884586	1.9817183298339	0.180787780226373	0.85653415502757	0.880421414193636
LOC117818443	0.518323127786528	-2.86293377758889	2.44836456386945	-1.16932495259784	0.242272733486477	0.299882833134126
col7a1	20.9460382255571	-4.43860722955024	0.742690134527393	-5.97639179948812	2.28133953580364e-09	1.1990777091457e-08
