Symbol	GOs
LOC117820534	GO:0003924,GO:0005525,GO:0005525,GO:0005737,GO:0005886,GO:0006886,GO:0016192
fkbp11	GO:0000413,GO:0003755,GO:0003755,GO:0061077
LOC117820543	GO:0003729,GO:0003735,GO:0003735,GO:0005840,GO:0005840,GO:0006412,GO:0006412,GO:0022627
LOC117820491	GO:0000978,GO:0003700,GO:0006357
rhebl1	GO:0003924,GO:0003924,GO:0005525,GO:0005525,GO:0005886,GO:0007264,GO:0019003
LOC117812401	NA
LOC117812393	GO:0005524,GO:0005524,GO:0005886,GO:0006468,GO:0006468,GO:0007399,GO:0016361,GO:0032924,GO:0048179,GO:0048185,GO:0071363
ankrd33ab	GO:0005515
arhgef25b	GO:0005085,GO:0005085,GO:0005737,GO:0005886,GO:0007411
b4galnt1b	GO:0000139,GO:0001574,GO:0016758,GO:0030259
os9	GO:0005788,GO:0030433,GO:0030968,GO:0030970
c1galt1b	GO:0016020,GO:0016263,GO:0016267
tac3b	NA
apof	GO:0005615,GO:0008203
stat2	GO:0000978,GO:0000981,GO:0006357,GO:0006952,GO:0007259,GO:0042127,GO:0043434,GO:0060337
LOC117818737	GO:0001604,GO:0007218,GO:0016020
LOC117815134	GO:0001604,GO:0007218,GO:0016020
LOC117815203	GO:0003676,GO:0005634,GO:0008270
LOC117817598	GO:0046983
endou	GO:0004521,GO:0004521,GO:0005044,GO:0006955,GO:0030247
tsfm	GO:0003746,GO:0003746,GO:0005515,GO:0005759,GO:0070125
myl6	GO:0005509,GO:0008307,GO:0016460
smarcc2	GO:0016514,GO:0031492,GO:0042393,GO:0045893,GO:0071564,GO:0071565
LOC117805768	GO:0005515
pfkmb	GO:0003872,GO:0003872,GO:0005524,GO:0005524,GO:0005737,GO:0005945,GO:0006002,GO:0006002,GO:0016020,GO:0016208,GO:0030388,GO:0042802,GO:0048029,GO:0061621,GO:0070095
espl1	GO:0004197,GO:0004197,GO:0005515,GO:0005634,GO:0005737,GO:0005813,GO:0006508,GO:0006508,GO:0051307,GO:0072686
pfdn5	GO:0005737,GO:0006355,GO:0006457,GO:0016272,GO:0051082
larp4ab	GO:0003730,GO:0005829,GO:0010494,GO:0045727
atf7b	GO:0000981,GO:0006357,GO:0035497
dip2bb	NA
LOC117818918	NA
atf1	GO:0000978,GO:0000981,GO:0005515,GO:0005634,GO:0006357,GO:1990589
LOC117816380	GO:0008757
LOC117812875	GO:0008757
scn8ab	GO:0001518,GO:0001518,GO:0005248,GO:0005248,GO:0005509,GO:0005515,GO:0005886,GO:0019228,GO:0030424,GO:0035725,GO:0086010
LOC117819138	NA
LOC117819189	NA
si:dkey-195m11.8	NA
slc4a8	GO:0005452,GO:0005452,GO:0005886,GO:0006820,GO:0006820,GO:0008509,GO:0008510,GO:0015701,GO:0051453,GO:0055085
LOC117819197	NA
ttll3	GO:0003341,GO:0005929,GO:0018094,GO:0060271,GO:0070736
LOC117818458	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0009952,GO:0032922,GO:0046983,GO:0050767
LOC117810213	GO:0005220,GO:0005783,GO:0016020,GO:0070588,GO:0070679
sumf1	GO:0005783
LOC117810222	GO:0005515,GO:0005615,GO:0031012
LOC117810243	NA
LOC117810238	NA
si:dkey-28n18.9	GO:0035091
LOC117820006	GO:0005783,GO:0030433,GO:0051087,GO:0051787
zc3h10	GO:0046872
esyt1b	GO:0006869,GO:0008289,GO:0061817
LOC117820949	GO:0007219,GO:0016567,GO:0046872
LOC117815459	GO:0007219,GO:0016567,GO:0046872
LOC117811180	GO:0005509,GO:0005515
LOC117811186	GO:0004930,GO:0004930,GO:0005886,GO:0007186,GO:0007186
LOC117816029	GO:0003729,GO:0005829
faim2b	GO:0005783,GO:0005794,GO:0016020,GO:2001234
LOC117815117	GO:0000122,GO:0000978,GO:0004879,GO:0008270,GO:0009755,GO:0030154,GO:0045944
LOC117815991	GO:0005048,GO:0005784,GO:0006616,GO:0008320,GO:0016020,GO:0016020,GO:0031204,GO:0043022
LOC117811890	GO:0000828,GO:0005634,GO:0005737,GO:0032958,GO:0032958,GO:0046854
trnaf-gaa	NA
LOC117818443	GO:0004930,GO:0004930,GO:0007186,GO:0007186,GO:0016020,GO:0042277
col7a1	GO:0004867,GO:0005515
LOC117815715	GO:0005634,GO:0019901,GO:0030291
LOC117815219	GO:0001664,GO:0003924,GO:0003924,GO:0005525,GO:0005834,GO:0007188,GO:0007188,GO:0007214,GO:0031683,GO:0031683
LOC117823165	GO:0003333,GO:0005290,GO:0006867,GO:0006868,GO:0015182,GO:0015186,GO:0015817
LOC117812852	GO:0000398,GO:0003723,GO:0003723,GO:0005634
emc3	GO:0016020,GO:0016020,GO:0034975,GO:0072546
usp4	GO:0004843,GO:0016579
gpx1b	GO:0004602,GO:0004602,GO:0005739,GO:0005829,GO:0006749,GO:0010269,GO:0042542,GO:0042744
fancd2	GO:0000793,GO:0005634,GO:0007129,GO:0031573,GO:0036297,GO:0070182,GO:1990918
tex264a	GO:0000421,GO:0005634,GO:0005657,GO:0005789,GO:0061709,GO:0106300
LOC117819120	NA
grm2a	GO:0001641,GO:0007216,GO:0016020,GO:0051966
parp3	GO:0003950,GO:0035861
gpr61l	GO:0004930,GO:0004930,GO:0005768,GO:0005886,GO:0007186,GO:0007186,GO:0043235
LOC117815285	GO:0005901,GO:0060090,GO:0070836,GO:0070836
cav3	GO:0005901,GO:0042391,GO:0044325,GO:0060090,GO:0070836,GO:0070836,GO:0071253
oxtr	GO:0001992,GO:0004990,GO:0004990,GO:0005000,GO:0005000,GO:0007186,GO:0007186,GO:0007565,GO:0016020,GO:0042277,GO:0045907,GO:0060137
rad18	GO:0003697,GO:0005634,GO:0006301,GO:0006513,GO:0061630,GO:0097505
srgap3	GO:0005515,GO:0005737,GO:0007165,GO:0030336
LOC117818797	NA
thumpd3	GO:0003723,GO:0016423,GO:0030488
LOC117813585	GO:0001516,GO:0004497,GO:0005506,GO:0008116,GO:0016705,GO:0020037
LOC117830323	GO:0005251,GO:0005515,GO:0008076,GO:0008076,GO:0016020,GO:0051260,GO:0071805
LOC117811351	GO:0005811,GO:0016616
cse1l	GO:0005049,GO:0005635,GO:0005829,GO:0006606,GO:0006611,GO:0031267
pbrm1	GO:0003682,GO:0005515,GO:0006338,GO:0016586
wdr77	GO:0005515,GO:0007309,GO:0034709
LOC117816687	NA
LOC117817869	GO:0001917,GO:0005509,GO:0005509,GO:0007601,GO:0008048,GO:0031284,GO:0120199
irf6	GO:0000978,GO:0000981,GO:0002376,GO:0005515,GO:0005634,GO:0006357
eps8l3a	GO:0003779,GO:0005886,GO:0007266,GO:0031982,GO:0032587,GO:0035023,GO:1900029
LOC117818349	GO:0003876,GO:0003876,GO:0005829,GO:0032264,GO:0032264,GO:0046033
LOC117818381	NA
LOC117818372	GO:0004930,GO:0004930,GO:0005768,GO:0005886,GO:0007186,GO:0007186,GO:0043235
LOC117823793	GO:0005515,GO:0007420
LOC117813184	GO:0000381,GO:0003729,GO:0005634
LOC117816284	GO:0005886,GO:0008021,GO:0015816,GO:0015820,GO:0015824,GO:0032328,GO:0035725
LOC117816330	GO:0005515,GO:0008270
strip1	GO:0005829,GO:0007010
LOC117814691	GO:0005829,GO:0033353
srsf3b	GO:0000398,GO:0003723,GO:0003723,GO:0016607
cdkn1a	GO:0004861,GO:0005634,GO:0007346,GO:0072331
tmcc2	GO:0012505,GO:0042982
usp49	GO:0004843,GO:0005737,GO:0008270,GO:0016579
med20	GO:0003713,GO:0006357,GO:0006357,GO:0016592,GO:0016592
bysl	GO:0005730,GO:0005737,GO:0006364,GO:0030515,GO:0030688
ccnd3	GO:0000079,GO:0000307,GO:0005634,GO:0005737,GO:0016538,GO:0044772,GO:1900087
nuak2	GO:0000226,GO:0004674,GO:0005524,GO:0005737,GO:0006468,GO:0035556,GO:0050321
dstyk	GO:0004672,GO:0005524,GO:0006468
celsr2	GO:0004930,GO:0005509,GO:0005886,GO:0007156,GO:0007166,GO:0007186
capzb	GO:0000902,GO:0005737,GO:0008290,GO:0008290,GO:0010591,GO:0030036,GO:0051015,GO:0051016,GO:0051016,GO:0051490
micos10	GO:0005739,GO:0005743,GO:0005743,GO:0061617,GO:0061617
nbl1	GO:0005615,GO:0009887,GO:0036122,GO:0038098,GO:0048018
LOC117814950	GO:0005886,GO:0030165
LOC117815044	NA
LOC117814735	GO:0005515
LOC117814822	GO:0004930,GO:0007186,GO:0016020
LOC117814801	GO:0004930,GO:0007186,GO:0016020
fndc10	NA
ssu72	GO:0005634,GO:0005634,GO:0005847,GO:0006369,GO:0006378,GO:0008420
atad3	GO:0005524,GO:0005739,GO:0007005,GO:0008270,GO:0016887
mrpl20	GO:0000027,GO:0003735,GO:0003735,GO:0005840,GO:0005840,GO:0006412,GO:0006412,GO:0019843,GO:0019843
sdhb	GO:0006099,GO:0009055,GO:0009060,GO:0022904,GO:0031966,GO:0051537
mfap2	GO:0001527,GO:0001527,GO:0048048,GO:0062023
LOC117814589	NA
necap2	GO:0006897,GO:0016020,GO:0030125
LOC117815003	NA
fbxo42	GO:0005515
slc25a34	NA
LOC117814818	NA
LOC117814780	GO:0001725,GO:0005925,GO:0031005,GO:0098609
si:ch1073-335m2.2	GO:0003729,GO:0005634,GO:0006357
prkar2ab	GO:0001932,GO:0005952,GO:0008603
slc25a20	GO:0005740,GO:0006839,GO:0015227,GO:1902603
LOC117814616	GO:0005515,GO:0006897,GO:0071933
ndufaf3	GO:0005743,GO:0032981,GO:0032981
zgc:112334	GO:0005093,GO:0005093,GO:0005737,GO:0007264,GO:0007264,GO:0015031,GO:0016192
LOC117814766	GO:0005637,GO:0071763
LOC117814936	GO:0003924,GO:0003924,GO:0005525,GO:0005525,GO:0007264,GO:0016477,GO:0032154,GO:0043149,GO:0043197
LOC117814891	GO:0005942,GO:0035556,GO:0046854,GO:0046935
LOC117815031	GO:0003682,GO:0003779,GO:0048188,GO:0080182
rpusd4	GO:0001522,GO:0003723,GO:0009982
LOC117814607	NA
tmcc1b	GO:0012505
LOC117815083	GO:0012505
LOC117815094	GO:0000786,GO:0003677,GO:0006334,GO:0030527
LOC117815048	NA
LOC117815440	NA
LOC117815098	NA
LOC117815106	NA
LOC117827294	NA
LOC117815448	GO:0005245,GO:0005891
LOC117827212	GO:0001750,GO:0004930,GO:0007186,GO:0007601,GO:0016020
cacna1da	GO:0005891,GO:0005891,GO:0008331,GO:0016020,GO:0098703
LOC117816464	NA
tkta	GO:0004802,GO:0005789,GO:0009052,GO:0030976,GO:0046390,GO:0070062
bicd2	GO:0005794,GO:0005829,GO:0008093,GO:0008093,GO:0033365,GO:0034452,GO:0070507,GO:0070840,GO:0070840,GO:0072393
card19	GO:0005739
LOC117823372	NA
ninj1	GO:0007155,GO:0007155,GO:0016020,GO:0016020,GO:0042246,GO:0042246
wnk2	GO:0004674,GO:0004674,GO:0005524,GO:0005737,GO:0005829,GO:0006468,GO:0006468,GO:0010766,GO:0019869,GO:0019870,GO:0035556,GO:0050801,GO:1903288,GO:2000651
LOC117815543	NA
il17rc	GO:0030368
LOC117816765	GO:0005509
erc2	GO:0007274,GO:0048167,GO:0048788,GO:0048790,GO:0098882
bsnb	GO:0030424,GO:0035418,GO:0046872,GO:0048788,GO:0098882,GO:0098978,GO:0098982,GO:1904071
bap1	GO:0004843,GO:0004843,GO:0005737,GO:0006511,GO:0006511,GO:0016579
rad54l2	GO:0005524,GO:0005634,GO:0016887,GO:0140658
LOC117819986	GO:0005783,GO:0140575
rassf1	GO:0005634,GO:0007265,GO:0015630
tusc2b	GO:0005739,GO:0006954,GO:0051881
hyal2b	GO:0004415,GO:0004415,GO:0005975,GO:0005975,GO:0030214,GO:0033906
abhd14a	GO:0005737
LOC117816941	GO:0004046,GO:0004046,GO:0005737,GO:0006520
LOC117820810	GO:0005245,GO:0005891
LOC117818428	GO:0003774,GO:0005524,GO:0016459,GO:0051015
LOC117818421	GO:0003774,GO:0005524,GO:0016459,GO:0051015
LOC117816814	GO:0003774,GO:0005524,GO:0016459,GO:0051015
p4htm	GO:0004656,GO:0005506,GO:0005509,GO:0005783,GO:0018401,GO:0031418
slc26a6l	GO:0008271,GO:0008272,GO:0015106,GO:0015108,GO:0016020,GO:0016020,GO:0019531,GO:0055085,GO:0055085
kbtbd12	GO:0005515
LOC117816850	GO:0000794,GO:0006310,GO:0006310,GO:0007129,GO:0042138,GO:0042138
c1h1orf159	NA
si:ch211-157b11.14	GO:0005634,GO:0005737,GO:0006355,GO:0014850
rereb	GO:0003714,GO:0005634,GO:0006355,GO:0008270,GO:0043565
eno1b	GO:0000015,GO:0000015,GO:0000287,GO:0000287,GO:0004634,GO:0004634,GO:0006096,GO:0006096
ppil1	GO:0000413,GO:0000413,GO:0003755,GO:0003755,GO:0006457,GO:0071013
LOC117804604	GO:0016020,GO:0016020,GO:0035725
LOC117804772	GO:0016020,GO:0016020,GO:0035725
frs3	GO:0005737,GO:0007169
tspo	GO:0005741
LOC117810477	GO:0005759,GO:0034551,GO:0034551
c1h1orf74	NA
sirt4	GO:0034979,GO:0070403
zgc:172271	GO:0005615,GO:0005615,GO:0005769,GO:0005886,GO:0006826,GO:0055037
sfi1	GO:0019902
eif4enif1	GO:0003729,GO:0005634,GO:0005737,GO:0017148
patz1	GO:0000122,GO:0001817,GO:0002682,GO:0003700,GO:0005515
LOC117816071	GO:0015149,GO:0015749,GO:0016020,GO:0016020
LOC117816063	GO:0015149,GO:0015749,GO:0016020,GO:0016020
tgfa	GO:0007173,GO:0008284,GO:0045741,GO:0045840
hdhd3	NA
LOC117821198	NA
trub2	GO:0001522,GO:0001522,GO:0003723,GO:0006396,GO:0009982,GO:0009982
rab44	GO:0003924,GO:0005525
srsf3a	GO:0000398,GO:0003723,GO:0003723,GO:0016607
fkbp5	GO:0003755,GO:0005515
LOC117811470	GO:0016020,GO:0016020,GO:0035725
LOC117815553	GO:0016020,GO:0016020,GO:0035725
LOC117812353	GO:0001750,GO:0004930,GO:0007186,GO:0007601,GO:0007602,GO:0016020
LOC117810422	GO:0001750,GO:0004930,GO:0007186,GO:0007601,GO:0007602,GO:0016020
LOC117810401	GO:0001750,GO:0004930,GO:0007186,GO:0007601,GO:0007602,GO:0016020
LOC117810411	GO:0001750,GO:0004930,GO:0007186,GO:0007601,GO:0007602,GO:0016020
LOC117812364	GO:0001750,GO:0004930,GO:0007186,GO:0007601,GO:0007602,GO:0016020
LOC117815558	GO:0008021,GO:0008021,GO:0030672
cadpsb	GO:0016079,GO:0045921,GO:0098978,GO:1990504
ca16b	GO:0004725,GO:0005515,GO:0006470
cfap20dc	NA
si:dkeyp-67f1.2	GO:0005615
LOC117820831	GO:0001725,GO:0030041,GO:0032956,GO:0043005,GO:0045202,GO:0051017
camk1a	GO:0004683,GO:0005516,GO:0005524,GO:0005622,GO:0018105
pbrm1l	GO:0003682,GO:0005515,GO:0006338,GO:0016586
stau1	NA
LOC117811536	GO:0005811,GO:0016616
si:dkey-7k24.5	NA
kcnb1	GO:0005251,GO:0005515,GO:0008076,GO:0008076,GO:0016020,GO:0051260,GO:0071805
ptgis	GO:0001516,GO:0004497,GO:0005506,GO:0008116,GO:0016705,GO:0020037
LOC117811556	GO:0005515,GO:0005737,GO:0007165,GO:0030336
oxtrl	GO:0001992,GO:0004990,GO:0004990,GO:0005000,GO:0005000,GO:0007186,GO:0007186,GO:0007565,GO:0016020,GO:0042277,GO:0045907,GO:0060137
