SI16_21G	SI16_23G	SI18_30G	SI18_48G	SI18_52G	SI16_22G	SI18_15G	SI18_16G	SI18_18G	SI18_22G	SI16_1G	SI16_2G	SI16_3G	SI18_47G	SI18_49G
LOC117812401	69	134	25	45	38	178	22	22	29	27	356	340	474	647	339
LOC117812393	61	101	14	11	18	72	13	12	16	18	140	116	94	201	117
ankrd33ab	0	0	0	0	0	0	0	0	0	0	0	2	1	5	0
arhgef25b	3	12	2	4	1	60	0	14	13	17	10	14	27	87	31
b4galnt1b	1	0	0	1	1	2	1	1	0	1	13	5	21	64	21
os9	200	204	87	112	85	270	78	48	57	67	1125	828	1117	1196	655
c1galt1b	354	622	200	242	305	414	137	52	56	141	496	335	482	455	271
tac3b	0	0	0	0	0	3	0	0	0	0	2	1	0	3	1
apof	0	0	0	0	0	0	0	5	0	0	0	1	1	0	5
stat2	146	227	97	89	82	293	86	61	169	63	95	241	418	697	384
LOC117818737	0	0	0	0	0	1	5	1	0	0	0	7	3	2	5
LOC117815134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117815203	0	1	0	0	0	2	0	0	1	0	4	1	2	16	2
LOC117817598	1	1	1	0	2	7	0	0	0	1	8	3	1	17	1
endou	0	0	0	0	1	2	0	0	0	0	2	3	0	270	816
tsfm	675	847	534	633	577	686	461	375	265	364	73	83	168	133	86
myl6	970	2517	1436	1436	1571	2211	1157	1011	661	1023	1212	940	854	897	718
smarcc2	18	38	7	10	5	136	17	11	19	8	825	530	474	274	242
LOC117805768	0	0	0	0	0	1	0	0	0	0	1	1	7	24	8
pfkmb	0	0	0	1	1	2	1	3	1	0	0	1	6	15	6
espl1	691	463	727	660	905	510	257	87	107	367	1246	820	893	560	302
pfdn5	1491	3242	1735	1680	2035	3755	1919	2360	1670	1671	800	860	1208	1806	1314
larp4ab	114	123	78	117	146	490	121	39	136	71	5756	3423	6011	4047	2198
atf7b	44	46	19	24	25	38	9	9	15	17	93	78	134	166	66
dip2bb	6	34	4	16	12	49	10	17	24	11	242	144	456	366	205
LOC117818918	0	5	0	0	1	0	2	12	4	2	0	0	0	0	1
atf1	555	697	452	491	498	658	333	148	170	309	1481	1233	716	527	436
LOC117816380	2	1	5	9	4	5	6	0	0	5	10	8	16	25	12
LOC117812875	132	197	401	192	100	207	394	288	206	241	40	29	94	191	118
scn8ab	1	8	1	3	1	13	1	1	1	3	42	29	61	122	54
LOC117819138	0	0	0	0	0	1	0	0	0	0	0	16	11	3	2
LOC117819189	1	3	0	6	6	7	9	0	8	2	26	6	25	33	9
si:dkey-195m11.8	2	2	0	0	0	1	0	0	0	0	5	8	10	13	0
slc4a8	1	3	1	1	0	28	0	0	1	1	56	117	118	292	87
LOC117819197	0	0	0	0	0	0	0	0	0	0	4	1	1	2	0
ttll3	0	0	1	0	0	21	1	0	1	0	449	187	402	91	40
LOC117818458	145	178	58	56	58	214	36	75	82	31	104	113	266	343	190
LOC117810213	95	99	28	72	54	69	20	19	18	16	98	87	151	235	117
sumf1	134	366	70	60	65	138	40	46	54	76	87	80	189	269	196
LOC117810222	0	0	0	2	0	23	1	0	0	1	8	13	30	111	29
LOC117810243	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1
LOC117810238	0	0	0	0	0	0	1	0	1	0	1	1	1	11	7
si:dkey-28n18.9	2	4	1	5	2	35	5	3	2	4	36	27	35	87	47
LOC117820006	311	377	433	501	445	717	501	339	315	322	35	48	88	176	97
zc3h10	124	80	34	65	21	92	15	7	17	16	167	193	165	330	113
esyt1b	39	87	27	31	38	500	84	101	207	81	212	250	882	1485	899
LOC117820949	16	50	32	17	16	147	61	31	131	29	501	335	279	706	372
LOC117815459	6	3	7	3	4	28	5	9	7	6	21	37	79	233	66
LOC117811180	121	149	34	33	28	161	95	100	94	122	262	199	340	527	256
LOC117811186	0	0	0	0	0	0	1	0	0	0	2	1	0	0	5
LOC117816029	5	5	2	2	9	4	3	1	0	1	2	7	13	25	6
faim2b	0	1	1	0	0	1	2	1	0	0	0	1	1	6	5
LOC117815117	29	43	7	9	2	21	7	8	3	9	34	48	235	210	82
LOC117815991	522	724	283	246	321	521	106	52	35	100	697	589	602	373	241
LOC117811890	1031	1045	273	320	439	496	191	111	146	160	264	259	507	742	342
trnaf-gaa	1	2	0	0	1	0	0	1	0	0	2	1	0	0	1
LOC117818443	0	0	0	0	0	2	0	0	0	0	3	0	1	5	2
col7a1	0	1	3	3	10	7	19	1	1	2	38	29	88	246	78
LOC117815715	11	28	0	0	0	37	1	1	1	2	9	14	23	61	26
LOC117815219	196	233	80	118	118	260	95	105	104	79	129	132	318	465	393
LOC117823165	19	42	15	19	8	42	5	3	4	6	48	72	144	126	104
LOC117812852	288	208	321	272	359	265	161	72	92	171	731	714	809	698	430
emc3	31	16	28	36	26	153	35	11	21	28	151	128	209	311	198
usp4	1117	879	908	734	1004	683	542	257	248	648	2450	1984	1685	997	518
gpx1b	873	1468	875	832	752	1956	774	1237	853	844	334	546	508	729	514
fancd2	840	646	366	311	582	695	126	58	177	277	2513	1796	2007	1263	762
tex264a	222	270	63	52	60	153	27	27	28	58	446	573	471	232	168
LOC117819120	0	0	0	0	0	0	0	0	0	0	4	12	7	0	0
grm2a	0	1	0	0	0	1	0	1	0	1	5	8	10	16	4
parp3	20	31	6	7	6	133	51	35	94	24	102	75	463	1686	694
gpr61l	0	0	0	0	0	0	1	0	0	0	1	0	1	3	1
LOC117815285	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0
cav3	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2
oxtr	0	0	0	0	0	1	0	0	0	0	2	3	0	15	9
rad18	107	139	73	64	76	124	29	19	25	26	188	168	332	341	164
srgap3	21	41	2	7	7	52	8	17	11	2	102	82	137	200	89
LOC117818797	0	0	0	0	0	1	0	0	0	0	19	16	9	17	2
thumpd3	576	539	631	689	642	800	389	211	228	442	1044	1063	1627	1937	1010
LOC117813585	0	0	1	2	0	12	5	8	4	1	20	20	22	58	28
LOC117830323	0	0	0	0	0	0	0	0	0	0	1	1	0	5	1
LOC117811351	0	0	3	0	0	7	1	1	1	1	4	1	12	44	11
cse1l	2533	2711	2131	1943	2634	1859	1185	521	561	1390	2508	2114	3207	2269	1097
pbrm1	224	172	197	184	258	406	151	43	87	93	2098	1509	1760	1009	534
wdr77	2663	2566	2971	3026	2981	1718	2299	1723	1235	2765	529	592	936	505	373
